Match Id;Match Name;Match Stage;Match Type;Match Date - Weekday;Match Date - Month;Match Date - Day of the Month;Match Date - Year;Match Time;Match Score Type;Match Note;Team1;Score - Team1;Elo Rating - Team1;Team2;Score - Team2;Elo Rating - Team2;Betting line
48979;Nerd Street Gamers Winter Championship - Open 3;Group Stage;Round 3;Tuesday;November;2;2021;5:40 AM IST;final;Bo1;Cloud9 Academy;0;[1571];Complexity;1;[1728];
7030;First Strike: Oceania;Main Event;Semifinals;Saturday;December;5;2020;11:30 AM IST;final;Bo3;Legacy Esports;0;[1556];EXO Clan;2;[1728];
28724;Champions Tour Japan Stage 3: Challengers 2;Main Event;Group B;Friday;July;23;2021;7:30 AM IST;final;2 Maps;SETOUCHI ENLIFE;0;[1543];REJECT;2;[1728];
91740;Knights Circuit Monthly #1;Group Stage;Round 2;Thursday;April;21;2022;2:30 AM IST;final;Bo1;Position A;0;[1459];T1;1;[1728];
13453;Nerd Street Gamers March Monthly;Playoffs;Grand Finals;Monday;March;29;2021;4:00 AM IST;final;Bo3;Andbox;0;[1727];Cloud9;2;[1727];
17494;Nerd Street Gamers Summer Championship - April Qualifier;Playoffs;Round of 16;Tuesday;April;27;2021;7:00 AM IST;final;Bo3;Built By Gamers;0;[1647];Renegades;2;[1727];
16531;ORDER Nova Invitational;Main Event;Group A;Wednesday;April;14;2021;4:15 PM IST;final;Bo1;Kanga Esports;0;[1552];ORDER;1;[1727];
51564;GameGune 24;Group Stage;Elimination (B);Wednesday;November;24;2021;12:00 AM IST;final;Bo1;Zeta Gaming;0;[1532];UCAM Tokiers;1;[1727];
47620;Nerd Street Gamers Winter Championship - Open 2;Group Stage;Round 3;Tuesday;October;26;2021;5:30 AM IST;final;Bo1;Nemesis;0;[1527];Soniqs;1;[1727];
91708;Knights Circuit Monthly #1;Group Stage;Round 1;Thursday;April;21;2022;1:30 AM IST;final;Bo1;UNFAIR;0;;T1;1;[1727];
112993;Valorant Regional League MENA: Resilience - Stage 2;Playoffs;Lower Final;Wednesday;July;6;2022;10:45 PM IST;final;Bo3;XPLDZ;0;[1735];Team Falcons;2;[1726];
68220;Nerd Street Gamers Winter Championship - Finals;Group Stage: Day 2;Elimination (B);Wednesday;February;9;2022;5:15 AM IST;final;Bo3;Complexity;0;[1720];TSM Academy;2;[1726];
11477;Champions Tour North America Stage 1: Challengers 3;Main Event;Lower Round 2;Saturday;March;6;2021;4:45 AM IST;final;Bo3;NRG Esports;0;[1715];Gen.G;2;[1726];
