"";"Match Id";"Match day of the week";"Match day of the month";"Match month";"Match year";"Match Name";"Match Stage";"Match Type";"Match Time";"Match Score Type";"Match Note";"Team1";"Score";"Elo Number";"Team2";"Score.1";"Elo Number.1";"Betting line"
"14462";76;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Round of 16";"12:30 AM IST";"final";"Bo1";"fish123";"1";NA;"L'institut";"0";NA;NA
"14674";77;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Round of 16";"12:30 AM IST";"final";"Bo1";"Ninjas in Pyjamas";"1";NA;"Madness";"0";NA;NA
"14874";78;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Round of 16";"12:30 AM IST";"final";"Bo1";"Prodigy";"1";NA;"G.Gang";"0";NA;NA
"15063";79;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Round of 16";"12:30 AM IST";"final";"Bo1";"Obsidian Esports";"0";NA;"HypHypHyp";"1";NA;NA
"15177";80;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Semifinals";"7:30 PM IST";"final";"Bo3";"fish123";"2";NA;"TooGoodForLan";"0";NA;NA
"15222";81;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Semifinals";"5:30 PM IST";"final";"Bo3";"Ninjas in Pyjamas";"0";NA;"HypHypHyp";"2";NA;NA
"15264";82;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Bronze Final";"9:30 PM IST";"final";"Bo3";"Ninjas in Pyjamas";"2";NA;"TooGoodForLan";"0";NA;NA
"15337";83;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Grand Final";"11:30 PM IST";"final";"Bo3";"HypHypHyp";"0";NA;"fish123";"2";NA;NA
"15440";84;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Quarterfinals";"1:00 AM IST";"final";"Bo1";"IDDQD v2";"0";NA;"HypHypHyp";"1";NA;NA
"15608";85;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Quarterfinals";"1:00 AM IST";"final";"Bo1";"Prodigy";"0";NA;"Ninjas in Pyjamas";"1";NA;NA
"15651";86;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Quarterfinals";"1:00 AM IST";"final";"Bo1";"fish123";"1";NA;"InetGamer";"0";NA;NA
"15712";87;"Sunday";10;"5";2020;"Mandatory.gg Cup #1";"Playoffs";"Quarterfinals";"1:00 AM IST";"final";"Bo1";"StarS";"0";NA;"TooGoodForLan";"1";NA;NA
"15785";88;"Sunday";10;"5";2020;"VALORANT Academy EU - Closed Series";"Week 3";"Semifinals";"8:30 PM IST";"final";"Bo3";"StartedFromCS";"0";NA;"Prodigy";"2";NA;NA
"15885";89;"Sunday";10;"5";2020;"VALORANT Academy EU - Closed Series";"Week 3";"Semifinals";"8:30 PM IST";"final";"Bo3";"Shazoo";"2";NA;"LUJAika";"1";NA;NA
"16048";91;"Sunday";10;"5";2020;"VALORANT Academy EU - Closed Series";"Week 3";"Bronze Final";"11:30 PM IST";"final";"Bo3";"StartedFromCS";"0";NA;"LUJAika";"2";NA;NA
"16165";92;"Sunday";10;"5";2020;"VALORANT Academy EU - Closed Series";"Week 3";"Grand Final";"11:30 PM IST";"final";"Bo3";"Prodigy";"2";NA;"Shazoo";"0";NA;NA
"16283";94;"Sunday";10;"5";2020;"Valhalla Invitational";"Week 2";"Group B";"1:30 AM IST";"final";"Bo1";"Jacked Gamers";"1";NA;"Dignitas";"0";NA;NA
"16538";95;"Sunday";10;"5";2020;"Valhalla Invitational";"Week 2";"Group B";"1:30 AM IST";"final";"Bo1";"Moscow 5 Academy";"1";NA;"Banbind";"0";NA;NA
"16712";96;"Sunday";10;"5";2020;"Valhalla Invitational";"Week 2";"Group B";"2:30 AM IST";"final";"Bo1";"Moscow 5 Academy";"1";NA;"Dignitas";"0";NA;NA
"16797";97;"Sunday";10;"5";2020;"Valhalla Invitational";"Week 2";"Group B";"2:30 AM IST";"final";"Bo1";"Jacked Gamers";"1";NA;"Banbind";"0";NA;NA
"17024";98;"Sunday";10;"5";2020;"Valhalla Invitational";"Week 2";"Group B";"3:30 AM IST";"final";"Bo1";"Jacked Gamers";"1";NA;"Moscow 5 Academy";"0";NA;NA
