"";"Match Id";"Match day of the week";"Match day of the month";"Match month";"Match year";"Match Name";"Match Stage";"Match Type";"Match Time";"Match Score Type";"Match Note";"Team1";"Score";"Elo Number";"Team2";"Score.1";"Elo Number.1";"Betting line"
"5052";20548;"Saturday";29;"5";2022;"AOC Rising Heroes ANZ 2021";"Swiss Group Stage";"Round 4";"1:30 PM IST";"final";"Bo3";"Bandits";"0";1431;"Tyrant Esports";"2";1431;"$100 on  Tyrant Esports returned $154 at 1.54 pre-match odds "
"5056";20612;"Saturday";29;"5";2022;"AOC Rising Heroes ANZ 2021";"Swiss Group Stage";"Round 5";"4:15 PM IST";"final";"Bo3";"Tyrant Esports";"2";1516;"Nebula";"0";1516;NA
"5057";20613;"Saturday";29;"5";2022;"AOC Rising Heroes ANZ 2021";"Swiss Group Stage";"Round 5";"4:15 PM IST";"final";"Bo3";"Genuine Gaming";"0";1421;"Dire Wolves";"2";1421;NA
"5058";20614;"Saturday";29;"5";2022;"AOC Rising Heroes ANZ 2021";"Swiss Group Stage";"Round 5";"4:15 PM IST";"final";"Bo3";"Paradox Esports";"2";1391;"Tilted";"1";1391;NA
"5061";20667;"Saturday";12;"6";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Upper Final";"9:30 AM IST";"final";"Bo3";"ORDER";"2";1787;"Wildcard Gaming";"0";1787;"$100 on  ORDER returned $105 at 1.05 pre-match odds "
"5062";20668;"Sunday";30;"5";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Upper Quarterfinals";"9:30 AM IST";"final";"Bo3";"ORDER";"2";1797;"Tyrant Esports";"0";1797;NA
"5063";20669;"Sunday";30;"5";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Upper Quarterfinals";"9:30 AM IST";"final";"Bo3";"Mindfreak";"2";1607;"McBTSMac";"0";1607;NA
"5064";20670;"Sunday";30;"5";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Upper Quarterfinals";"9:30 AM IST";"final";"Bo3";"Team Bliss";"2";1628;"Dire Wolves";"0";1628;NA
"5065";20671;"Sunday";30;"5";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Upper Quarterfinals";"9:30 AM IST";"final";"Bo3";"Wildcard Gaming";"2";1605;"Paradox Esports";"0";1605;NA
"5066";20672;"Sunday";30;"5";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Upper Semifinals";"12:30 PM IST";"final";"Bo3";"ORDER";"2";1803;"Mindfreak";"1";1803;NA
"5067";20673;"Sunday";30;"5";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Upper Semifinals";"12:30 PM IST";"final";"Bo3";"Team Bliss";"0";1641;"Wildcard Gaming";"2";1641;NA
"5068";20675;"Sunday";30;"5";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Lower Round 1";"12:30 PM IST";"final";"Bo3";"Tyrant Esports";"0";1527;"McBTSMac";"2";1527;NA
"5069";20676;"Sunday";30;"5";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Lower Round 1";"12:30 PM IST";"final";"Bo3";"Paradox Esports";"2";1396;"Dire Wolves";"0";1396;NA
"5070";20677;"Saturday";12;"6";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Lower Round 2";"9:30 AM IST";"final";"Bo3";"McBTSMac";"2";1592;"Team Bliss";"1";1592;"$100 on  McBTSMac returned $172 at 1.72 pre-match odds "
"5071";20678;"Saturday";12;"6";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Lower Round 2";"9:30 AM IST";"final";"Bo3";"Paradox Esports";"1";1421;"Mindfreak";"2";1421;"$100 on  Mindfreak returned $122 at 1.22 pre-match odds "
"5072";20679;"Saturday";12;"6";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Lower Round 3";"12:30 PM IST";"final";"Bo3";"McBTSMac";"2";1607;"Mindfreak";"0";1607;NA
"5073";20680;"Sunday";13;"6";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Lower Final";"9:30 AM IST";"final";"Bo3";"Wildcard Gaming";"2";1706;"McBTSMac";"1";1706;"$100 on  Wildcard Gaming returned $114 at 1.14 pre-match odds "
"5074";20681;"Sunday";13;"6";2022;"AOC Rising Heroes ANZ 2021";"Playoffs";"Grand Final";"12:30 PM IST";"final";"Bo5";"ORDER";"3";1802;"Wildcard Gaming";"1";1802;NA
"5084";20786;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"10:30 AM IST";"final";"Bo1";"All Gamers";"0";1487;"LIZHI";"1";1487;"$100 on  LIZHI returned $223 at 2.23 pre-match odds "
"5085";20787;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"10:30 AM IST";"final";"Bo1";"ex-O2 Gaming";"1";1509;"Invincible Gaming";"0";1509;NA
"5086";20788;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"11:45 AM IST";"final";"Bo1";"LIZHI";"1";1506;"ex-O2 Gaming";"0";1506;"$100 on  LIZHI returned $210 at 2.10 pre-match odds "
"5087";20789;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"11:45 AM IST";"final";"Bo1";"Weibo Gaming";"1";1589;"All Gamers";"0";1589;"$100 on  Weibo Gaming returned $133 at 1.33 pre-match odds "
"5089";20790;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"1:00 PM IST";"final";"Bo1";"ex-O2 Gaming";"1";1499;"Weibo Gaming";"0";1499;"$100 on  ex-O2 Gaming returned $277 at 2.77 pre-match odds "
"5090";20791;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"1:00 PM IST";"final";"Bo1";"Invincible Gaming";"0";NA;"LIZHI";"1";NA;NA
"5091";20792;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"2:00 PM IST";"final";"Bo1";"Weibo Gaming";"1";1579;"Invincible Gaming";"0";1579;NA
"5092";20793;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"2:00 PM IST";"final";"Bo1";"All Gamers";"1";1471;"ex-O2 Gaming";"0";1471;"$100 on  All Gamers returned $198 at 1.98 pre-match odds "
"5093";20794;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"3:20 PM IST";"final";"Bo1";"Invincible Gaming";"0";NA;"All Gamers";"1";NA;NA
"5094";20795;"Thursday";3;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group A";"2:30 PM IST";"final";"Bo1";"LIZHI";"0";1506;"Weibo Gaming";"1";1506;"$100 on  Weibo Gaming returned $148 at 1.48 pre-match odds "
"5095";20796;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"10:30 AM IST";"final";"Bo1";"Attacking Soul Esports";"1";1469;"Totoro Gaming";"0";1469;"$100 on  Attacking Soul Esports returned $122 at 1.22 pre-match odds "
"5096";20797;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"10:30 AM IST";"final";"Bo1";"ShanXi Gaming Girls";"0";NA;"Invictus Gaming Academy";"1";NA;"$100 on  Invictus Gaming Academy returned $295 at 2.95 pre-match odds "
"5097";20798;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"12:00 PM IST";"final";"Bo1";"Number One Player";"1";1490;"Invictus Gaming Academy";"0";1490;"$100 on  Number One Player returned $193 at 1.93 pre-match odds "
"5098";20799;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"12:00 PM IST";"final";"Bo1";"Attacking Soul Esports";"1";1471;"ShanXi Gaming Girls";"0";1471;"$100 on  Attacking Soul Esports returned $233 at 2.33 pre-match odds "
"5100";20800;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"12:45 PM IST";"final";"Bo1";"Totoro Gaming";"1";NA;"ShanXi Gaming Girls";"0";NA;"$100 on  Totoro Gaming returned $100 at 1.00 pre-match odds "
"5101";20801;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"12:45 PM IST";"final";"Bo1";"Number One Player";"0";1490;"Attacking Soul Esports";"1";1490;"$100 on  Attacking Soul Esports returned $163 at 1.63 pre-match odds "
"5102";20802;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"1:30 PM IST";"final";"Bo1";"Invictus Gaming Academy";"1";1478;"Attacking Soul Esports";"0";1478;"$100 on  Invictus Gaming Academy returned $738 at 7.38 pre-match odds "
"5103";20803;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"1:30 PM IST";"final";"Bo1";"Totoro Gaming";"0";NA;"Number One Player";"1";NA;"$100 on  Number One Player returned $266 at 2.66 pre-match odds "
"5104";20804;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"2:30 PM IST";"final";"Bo1";"ShanXi Gaming Girls";"0";NA;"Number One Player";"1";NA;"$100 on  Number One Player returned $102 at 1.02 pre-match odds "
"5105";20805;"Friday";4;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group B";"2:30 PM IST";"final";"Bo1";"Invictus Gaming Academy";"0";1490;"Totoro Gaming";"1";1490;"$100 on  Totoro Gaming returned $163 at 1.63 pre-match odds "
"5106";20806;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"10:30 AM IST";"final";"Bo1";"KaiXin Esports";"1";1500;"FC";"0";1500;"$100 on  KaiXin Esports returned $138 at 1.38 pre-match odds "
"5107";20807;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"10:30 AM IST";"final";"Bo1";"Suning Gaming";"1";1500;"Underdog";"0";1500;NA
"5108";20808;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"11:35 AM IST";"final";"Bo1";"FC";"0";1441;"Suning Gaming";"1";1441;"$100 on  Suning Gaming returned $166 at 1.66 pre-match odds "
"5109";20809;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"11:40 AM IST";"final";"Bo1";"DingFeng Gaming";"0";1483;"KaiXin Esports";"1";1483;"$100 on  KaiXin Esports returned $191 at 1.91 pre-match odds "
"5111";20810;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"12:45 PM IST";"final";"Bo1";"Suning Gaming";"1";1520;"DingFeng Gaming";"0";1520;"$100 on  Suning Gaming returned $225 at 2.25 pre-match odds "
"5112";20811;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"12:45 PM IST";"final";"Bo1";"Underdog";"1";1493;"FC";"0";1493;NA
"5113";20812;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"2:00 PM IST";"final";"Bo1";"DingFeng Gaming";"1";1483;"Underdog";"0";1483;NA
"5114";20813;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"2:00 PM IST";"final";"Bo1";"KaiXin Esports";"0";1517;"Suning Gaming";"1";1517;"$100 on  Suning Gaming returned $405 at 4.05 pre-match odds "
"5115";20814;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"3:30 PM IST";"final";"Bo1";"Underdog";"0";1492;"KaiXin Esports";"1";1492;NA
"5116";20815;"Wednesday";9;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group C";"3:30 PM IST";"final";"Bo1";"FC";"0";1441;"DingFeng Gaming";"1";1441;"$100 on  DingFeng Gaming returned $165 at 1.65 pre-match odds "
"5117";20816;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"10:30 AM IST";"final";"Bo1";"CBT Gaming";"0";1605;"EDward Gaming";"1";1605;"$100 on  EDward Gaming returned $118 at 1.18 pre-match odds "
"5118";20817;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"10:30 AM IST";"final";"Bo1";"Tales of Eastern";"0";1557;"NTER";"1";1557;"$100 on  NTER returned $265 at 2.65 pre-match odds "
"5119";20818;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"11:40 AM IST";"final";"Bo1";"EDward Gaming";"1";1488;"Tales of Eastern";"0";1488;"$100 on  EDward Gaming returned $129 at 1.29 pre-match odds "
"5120";20819;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"11:40 AM IST";"final";"Bo1";"MAX Esports";"0";1459;"CBT Gaming";"1";1459;"$100 on  CBT Gaming returned $151 at 1.51 pre-match odds "
"5122";20820;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"1:00 PM IST";"final";"Bo1";"Tales of Eastern";"1";1527;"MAX Esports";"0";1527;"$100 on  Tales of Eastern returned $173 at 1.73 pre-match odds "
"5123";20821;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"1:00 PM IST";"final";"Bo1";"NTER";"0";1456;"EDward Gaming";"1";1456;"$100 on  EDward Gaming returned $232 at 2.32 pre-match odds "
"5124";20822;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"2:00 PM IST";"final";"Bo1";"MAX Esports";"0";1450;"NTER";"1";1450;"$100 on  NTER returned $197 at 1.97 pre-match odds "
"5125";20823;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"2:00 PM IST";"final";"Bo1";"CBT Gaming";"0";1595;"Tales of Eastern";"1";1595;"$100 on  Tales of Eastern returned $229 at 2.29 pre-match odds "
"5126";20824;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"3:05 PM IST";"final";"Bo1";"NTER";"0";1458;"CBT Gaming";"1";1458;"$100 on  CBT Gaming returned $145 at 1.45 pre-match odds "
"5127";20825;"Thursday";10;"6";2022;"Huya FMWH PangHu Cup: Summer";"Group Stage";"Group D";"3:05 PM IST";"final";"Bo1";"EDward Gaming";"1";1512;"MAX Esports";"0";1512;"$100 on  EDward Gaming returned $144 at 1.44 pre-match odds "
"5138";21107;"Thursday";3;"6";2022;"VALORANT UK & I Skirmish";"Qualifier #1";"Lower Bracket Final";"1:30 AM IST";"final";"Bo1";"M4LIK";"1";1543;"AREA";"0";1543;"$100 on  M4LIK returned $243 at 2.43 pre-match odds "
"5139";21108;"Thursday";3;"6";2022;"VALORANT UK & I Skirmish";"Qualifier #1";"Grand Finals";"11:30 PM IST";"final";"Bo1";"TENSTAR";"0";1719;"M4LIK";"1";1719;"$100 on  M4LIK returned $405 at 4.05 pre-match odds "
"5142";21129;"Wednesday";9;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Opening (A)";"11:05 PM IST";"final";"Bo1";"SMARACIS eSports";"1";1510;"ehehxd";"0";1510;"$100 on  SMARACIS eSports returned $175 at 1.75 pre-match odds "
"5144";21130;"Thursday";10;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Opening (A)";"12:00 AM IST";"final";"Bo1";"GMT Esports";"1";1658;"One Breath Gaming";"0";1658;"$100 on  GMT Esports returned $216 at 2.16 pre-match odds "
"5145";21131;"Thursday";10;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Winner's (A)";"1:20 AM IST";"final";"Bo1";"SMARACIS eSports";"0";1522;"GMT Esports";"1";1522;NA
"5146";21132;"Thursday";10;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Elimination (A)";"2:05 AM IST";"final";"Bo1";"ehehxd";"0";1485;"One Breath Gaming";"1";1485;NA
"5147";21133;"Thursday";10;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Decider (A)";"3:05 AM IST";"final";"Bo1";"SMARACIS eSports";"0";1516;"One Breath Gaming";"1";1516;NA
"5148";21134;"Thursday";10;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Opening (B)";"10:30 PM IST";"final";"Bo1";"KASTIRALIS";"1";1536;"Macacos Bovinos";"0";1536;NA
"5149";21135;"Thursday";10;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Opening (B)";"11:30 PM IST";"final";"Bo1";"breskvice";"0";NA;"Surreal Esports";"1";NA;NA
"5150";21136;"Friday";11;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Winner's (B)";"12:30 AM IST";"final";"Bo1";"KASTIRALIS";"0";1536;"Surreal Esports";"1";1536;NA
"5151";21137;"Saturday";12;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Elimination (B)";"8:30 PM IST";"final";"Bo1";"Macacos Bovinos";"1";1511;"breskvice";"0";1511;"$100 on  Macacos Bovinos returned $209 at 2.09 pre-match odds "
"5152";21138;"Saturday";12;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Decider (B)";"9:45 PM IST";"final";"Bo1";"KASTIRALIS";"1";1536;"Macacos Bovinos";"0";1536;NA
"5153";21139;"Friday";11;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Opening (C)";"10:45 PM IST";"final";"Bo1";"Infer Esports (Aim.Attack)";"0";1556;"FTW Esports";"0";1556;"$100 on  Aim.Attack returned $209 at 2.09 pre-match odds "
"5155";21140;"Friday";11;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Opening (C)";"11:40 PM IST";"final";"Bo1";"Fire Flux Esports";"1";1576;"Team Singularity";"0";1576;"$100 on  Fire Flux Esports returned $136 at 1.36 pre-match odds "
"5156";21141;"Saturday";12;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Winner's (C)";"12:55 AM IST";"final";"Bo1";"Infer Esports (Aim.Attack)";"0";1569;"Fire Flux Esports";"1";1569;NA
"5157";21142;"Saturday";12;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Elimination (C)";"1:55 AM IST";"final";"Bo1";"FTW Esports";"0";1584;"Team Singularity";"1";1584;"$100 on  Team Singularity returned $106 at 1.06 pre-match odds "
"5158";21143;"Saturday";12;"6";2022;"Circuito de Elite - Round #1";"Group Stage";"Decider (C)";"2:55 AM IST";"final";"Bo1";"Infer Esports (Aim.Attack)";"0";1558;"Team Singularity";"1";1558;NA
"5159";21144;"Friday";4;"6";2022;"Lethal Esports Invitational - Season 1";"Tournament";"Upper Round of 16";"3:00 PM IST";"final";"Bo3";"Velocity Gaming";"2";1711;"Team Moon";"1";1711;NA
"5160";21146;"Thursday";3;"6";2022;"Lethal Esports Invitational - Season 1";"Tournament";"Upper Round of 16";"3:30 PM IST";"final";"Bo3";"Team T69";"2";1522;"QQQ";"1";1522;NA
"5161";21148;"Saturday";5;"6";2022;"Lethal Esports Invitational - Season 1";"Tournament";"Upper Round of 16";"3:30 PM IST";"final";"Bo3";"Global Esports";"2";1676;"Lethal Esports Alpha";"0";1676;NA
"5162";21149;"Saturday";5;"6";2022;"Lethal Esports Invitational - Season 1";"Tournament";"Upper Round of 16";"1:30 PM IST";"final";"Bo3";"Samurai Esports";"0";1513;"True Rippers";"2";1513;NA
"5164";21150;"Sunday";6;"6";2022;"Lethal Esports Invitational - Season 1";"Tournament";"Upper Round of 16";"3:00 PM IST";"final";"Bo3";"Godlike Esports";"2";1581;"Reckoning Esports";"0";1581;"$100 on  Godlike Esports returned $107 at 1.07 pre-match odds "
"5165";21151;"Sunday";6;"6";2022;"Lethal Esports Invitational - Season 1";"Tournament";"Upper Round of 16";"1:20 PM IST";"final";"Bo3";"Enigma Gaming";"2";1529;"TempesT";"1";1529;"$100 on  Enigma Gaming returned $155 at 1.55 pre-match odds "
"5171";21209;"Thursday";3;"6";2022;"Oceania Tour: Stage 02";"Finals";"Upper Bracket Semifinals";"2:00 PM IST";"final";"Bo3";"ORDER";"2";1818;"Mindfreak";"0";1818;"$100 on  ORDER returned $116 at 1.16 pre-match odds "
"5173";21210;"Thursday";3;"6";2022;"Oceania Tour: Stage 02";"Finals";"Upper Bracket Semifinals";"4:10 PM IST";"final";"Bo3";"Team Bliss";"0";1638;"Wildcard Gaming";"2";1638;"$100 on  Wildcard Gaming returned $194 at 1.94 pre-match odds "
"5174";21211;"Thursday";3;"6";2022;"Oceania Tour: Stage 02";"Finals";"Lower Bracket Round 1";"2:00 PM IST";"final";"Bo3";"Nebula";"2";1516;"Straight Outta The Zoo";"1";1516;"$100 on  Nebula returned $591 at 5.91 pre-match odds "
"5175";21212;"Thursday";3;"6";2022;"Oceania Tour: Stage 02";"Finals";"Lower Bracket Round 1";"4:50 PM IST";"final";"Bo3";"Dire Wolves";"0";1476;"McBTSMac";"2";1476;"$100 on  McBTSMac returned $107 at 1.07 pre-match odds "
"5184";21332;"Thursday";3;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group A";"6:30 PM IST";"final";"Bo1";"Velocity Gaming";"1";1710;"Xiphos Outplay";"0";1710;NA
"5185";21333;"Thursday";3;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group B";"9:00 PM IST";"final";"Bo1";"Reckoning Esports";"1";1463;"VPG Headhunters";"0";1463;NA
"5186";21334;"Thursday";3;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group B";"10:00 PM IST";"final";"Bo1";"Samurai Esports";"1";1498;"Union Gaming";"0";1498;NA
"5187";21335;"Thursday";3;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group C";"7:10 PM IST";"final";"Bo1";"MercenarieZ";"0";NA;"Godlike Esports";"1";NA;NA
"5188";21336;"Thursday";3;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group D";"8:00 PM IST";"final";"Bo1";"Global Esports";"1";1672;"Gunslingers";"0";1672;NA
"5189";21337;"Thursday";3;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group D";"7:30 PM IST";"final";"Bo1";"Rebellious Gaming";"0";1446;"Lariox Esports";"1";1446;NA
"5190";21338;"Friday";4;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group A";"6:45 PM IST";"final";"Bo1";"F1LS Esports";"0";1520;"Velocity Gaming";"1";1520;"$100 on  Velocity Gaming returned $157 at 1.57 pre-match odds "
"5191";21339;"Friday";4;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group A";"7:50 PM IST";"final";"Bo1";"Zeusaberz Esports";"0";1499;"Velocity Gaming";"1";1499;NA
"5193";21340;"Saturday";5;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group A";"6:00 PM IST";"final";"Bo1";"F1LS Esports";"1";1520;"Xiphos Outplay";"0";1520;"$100 on  F1LS Esports returned $102 at 1.02 pre-match odds "
"5194";21341;"Sunday";6;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group A";"6:00 PM IST";"final";"Bo1";"F1LS Esports";"1";1522;"Zeusaberz Esports";"0";1522;"$100 on  F1LS Esports returned $100 at 1.00 pre-match odds "
"5195";21344;"Friday";4;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group B";"10:10 PM IST";"final";"Bo1";"Reckoning Esports";"0";1463;"Samurai Esports";"1";1463;"$100 on  Samurai Esports returned $187 at 1.87 pre-match odds "
"5196";21345;"Saturday";5;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group B";"8:00 PM IST";"final";"Bo1";"VPG Headhunters";"0";1479;"Samurai Esports";"1";1479;"$100 on  Samurai Esports returned $147 at 1.47 pre-match odds "
"5197";21346;"Saturday";5;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group B";"8:00 PM IST";"final";"Bo1";"Reckoning Esports";"0";1463;"Union Gaming";"1";1463;NA
"5198";21347;"Sunday";6;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group B";"8:00 PM IST";"final";"Bo1";"VPG Headhunters";"0";1479;"Union Gaming";"1";1479;"$100 on  Union Gaming returned $299 at 2.99 pre-match odds "
"5199";21348;"Friday";4;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group C";"8:30 PM IST";"final";"Bo1";"Enigma Gaming";"0";1532;"Godlike Esports";"1";1532;"$100 on  Godlike Esports returned $198 at 1.98 pre-match odds "
"5200";21349;"Saturday";5;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group C";"7:00 PM IST";"final";"Bo1";"Godlike Esports";"1";1579;"Mist Walkers";"0";1579;"$100 on  Godlike Esports returned $101 at 1.01 pre-match odds "
"5202";21350;"Saturday";5;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group C";"8:45 PM IST";"final";"Bo1";"Enigma Gaming";"1";1527;"MercenarieZ";"0";1527;"$100 on  Enigma Gaming returned $103 at 1.03 pre-match odds "
"5203";21351;"Sunday";6;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group C";"7:00 PM IST";"final";"Bo1";"MercenarieZ";"0";NA;"Mist Walkers";"1";NA;"$100 on  Mist Walkers returned $143 at 1.43 pre-match odds "
"5204";21352;"Sunday";6;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group C";"10:00 PM IST";"final";"Bo1";"Enigma Gaming";"1";1544;"Mist Walkers";"0";1544;NA
"5205";21353;"Friday";4;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group D";"7:50 PM IST";"final";"Bo1";"Rebellious Gaming";"0";1445;"Global Esports";"1";1445;"$100 on  Global Esports returned $126 at 1.26 pre-match odds "
"5206";21354;"Friday";4;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group D";"9:30 PM IST";"final";"Bo1";"Lariox Esports";"1";NA;"Gunslingers";"0";NA;NA
"5207";21355;"Saturday";5;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group D";"10:00 PM IST";"final";"Bo1";"Lariox Esports";"0";NA;"Global Esports";"1";NA;NA
"5208";21356;"Sunday";6;"6";2022;"Rooter Rise of Legends";"Group Stage";"Group D";"9:00 PM IST";"final";"Bo1";"Rebellious Gaming";"0";1443;"Gunslingers";"1";1443;"$100 on  Gunslingers returned $108 at 1.08 pre-match odds "
"5209";21357;"Saturday";5;"6";2022;"Oceania Tour: Stage 02";"Finals";"Upper Finals";"11:00 AM IST";"final";"Bo3";"ORDER";"1";1828;"Wildcard Gaming";"2";1828;"$100 on  Wildcard Gaming returned $191 at 1.91 pre-match odds "
"5210";21358;"Friday";4;"6";2022;"Oceania Tour: Stage 02";"Finals";"Lower Bracket Round 2";"2:00 PM IST";"final";"Bo3";"Team Bliss";"0";1618;"Nebula";"2";1618;NA
"5211";21359;"Friday";4;"6";2022;"Oceania Tour: Stage 02";"Finals";"Lower Bracket Round 2";"4:30 PM IST";"final";"Bo3";"Mindfreak";"0";1618;"McBTSMac";"2";1618;NA
"5218";21419;"Saturday";5;"6";2022;"Oceania Tour: Stage 02";"Finals";"Lower Bracket Round 3";"11:00 AM IST";"final";"Bo3";"Nebula";"0";1559;"McBTSMac";"2";1559;NA
"5220";21429;"Friday";11;"6";2022;"Protocolo: Gêneses 2021";"Main Event";"Upper Quarterfinals";"1:30 AM IST";"final";"Bo3";"Gamelanders Purple";"2";1500;"Stars Horizon Vênus";"0";1500;"$100 on  Gamelanders Purple returned $119 at 1.19 pre-match odds "
"5222";21430;"Friday";11;"6";2022;"Protocolo: Gêneses 2021";"Main Event";"Upper Quarterfinals";"3:55 AM IST";"final";"Bo3";"Keyd Stars Athenas";"2";1500;"Jaguares Fem";"1";1500;"$100 on  Keyd Stars Athenas returned $172 at 1.72 pre-match odds "
